IdSensore,Tipologia,Unità DiMisura,IdStazione,NomeStazione,Quota,Provincia,NomeComune,Indirizzo,CGB_Nord,CGB_Est,lng,lat,location
9786,Radiazione Globale,W/mq,847,Carisole,"1,950",BG,Carona,RIFUGIO MIRTILLO,5098976,1561712,9.79722861,46.04138761,"(46.04138761, 9.79722861)"
9827,Radiazione Globale,W/mq,835,Oga S. Colombano,"2,295",SO,Valdisotto,FORTE DI OGA,5146182,1603177,10.34333681,46.46111472,"(46.46111472, 10.34333681)"
9828,Radiazione Globale,W/mq,848,La Vallaccia *,"2,655",SO,Livigno,LIVIGNO,5147863,1592569,10.20555831,46.47778008,"(46.47778008, 10.20555831)"
10570,Temperatura,°C,1273,Bagni di Masino,"1,191",SO,Val Masino,via Bagni,5121292,1546007,9.59643936,46.24345747,"(46.24345747, 9.59643936)"
10571,Umidità Relativa,%,1273,Bagni di Masino,"1,191",SO,Val Masino,via Bagni,5121292,1546007,9.59643936,46.24345747,"(46.24345747, 9.59643936)"
10574,Precipitazione,mm,1273,Bagni di Masino,"1,191",SO,Val Masino,via Bagni,5121292,1546007,9.59643936,46.24345747,"(46.24345747, 9.59643936)"
10575,Radiazione Globale,W/mq,1273,Bagni di Masino,"1,191",SO,Val Masino,via Bagni,5121292,1546007,9.59643936,46.24345747,"(46.24345747, 9.59643936)"
11007,Temperatura,°C,822,Valtorta *,982,BG,Valtorta,VALTORTA,5091277,1541774,9.53889086,45.97360719,"(45.97360719, 9.53889086)"
11008,Umidità Relativa,%,822,Valtorta *,982,BG,Valtorta,VALTORTA,5091277,1541774,9.53889086,45.97360719,"(45.97360719, 9.53889086)"
11011,Umidità Relativa,%,912,Foppolo *,"1,682",BG,Foppolo,CAMPO SPORTIVO COMUNALE,5099068,1558529,9.75610761,46.04249594,"(46.04249594, 9.75610761)"
11020,Umidità Relativa,%,1205,Molteno,278,LC,Molteno,MOLTENO,5070006,1523899,9.30710044,45.78301922,"(45.78301922, 9.30710044)"
11021,Umidità Relativa,%,1224,Cortenova *,456,LC,Cortenova,campo sportivo,5094968,1529478,9.38040375,46.00746603,"(46.00746603, 9.38040375)"
11129,Velocità Vento Scalare,m/s,123,Cavenago d`Adda,67,LO,Cavenago d'Adda,Caviaga - cascina Casoni,5013099,1544093,9.56174517,45.26983092,"(45.26983092, 9.56174517)"
11130,Direzione Vento,°,123,Cavenago d` Adda,67,LO,Cavenago d'Adda,Caviaga - cascina Casoni,5013099,1544093,9.56174517,45.26983092,"(45.26983092, 9.56174517)"
11140,Radiazione Globale,W/mq,824,Clusone *,591,BG,Clusone,CLUSONE,5081881,1573479,9.94666236,45.88638933,"(45.88638933, 9.94666236)"
11158,Umidità Relativa,%,1230,Lago Truzzo - S.Giacomo Filippo *,"2,064",SO,San Giacomo Filippo,Diga Lago Truzzo ENEL,5134178,1524642,9.31999053,46.36054214,"(46.36054214, 9.31999053)"
11159,Direzione Vento,°,1230,Lago Truzzo - S.Giacomo Filippo *,"2,064",SO,San Giacomo Filippo,Diga Lago Truzzo ENEL,5134178,1524642,9.31999053,46.36054214,"(46.36054214, 9.31999053)"
11160,Velocità Vento,m/s,1230,Lago Truzzo - S.Giacomo Filippo *,"2,064",SO,San Giacomo Filippo,Diga Lago Truzzo ENEL,5134178,1524642,9.31999053,46.36054214,"(46.36054214, 9.31999053)"
11190,Umidità Relativa,%,846,Pantano d`Avio *,"2,105",BS,Edolo,RIFUGIO GARIBALDI,5114565,1613558,10.47083922,46.17499883,"(46.17499883, 10.47083922)"
11215,Temperatura,°C,846,Pantano d`Avio *,"2,105",BS,Edolo,RIFUGIO GARIBALDI,5114565,1613558,10.47083922,46.17499883,"(46.17499883, 10.47083922)"
11225,Velocità Vento,m/s,1222,Cavargna *,"1,100",CO,Cavargna,CAVARGNA chiesa parrocchiale,5104246,1508595,9.11084686,46.09155206,"(46.09155206, 9.11084686)"
11226,Direzione Vento,°,1222,Cavargna *,"1,100",CO,Cavargna,CAVARGNA chiesa parrocchiale,5104246,1508595,9.11084686,46.09155206,"(46.09155206, 9.11084686)"
11228,Radiazione Globale,W/mq,1075,Edolo - via Morino 34,659,BS,Edolo,c/o centrale Enel,5114109,1603378,10.3388605,46.1725273,"(46.1725273, 10.3388605)"
11641,Velocità Vento,m/s,102,S.Colombano al Lambro (ersaf) *,80,MI,San Colombano al Lambro,via Serafina - c/o Vigneto Sperimentale Moretto,5003859,1538227,9.48625681,45.18700408,"(45.18700408, 9.48625681)"
11642,Velocità Vento Scalare,m/s,106,Varzi (ersaf),500,PV,Varzi,Nivione,4963427,1515446,9.19503519,44.82391153,"(44.82391153, 9.19503519)"
11643,Velocità Vento Scalare,m/s,107,Sondrio (ersaf),307,SO,Sondrio,via Valeriana 32 - c/o Ist. Fondazione Fojanini,5112818,1565532,9.84850281,46.16559603,"(46.16559603, 9.84850281)"
11644,Velocità Vento Scalare,m/s,108,Samolaco (ersaf),206,SO,Samolaco,via Vignola,5120391,1532923,9.42666611,46.236112,"(46.236112, 9.42666611)"
11646,Velocità Vento Scalare,m/s,110,Palidano di Gonzaga,22,MN,Gonzaga,strada Begozzo 9 - c/o ITA Strozzi,4980543,1639424,10.767532,44.96447231,"(44.96447231, 10.767532)"
11647,Velocità Vento,m/s,111,Moggio,"1,234",LC,Cassina Valsassina,SP 64 km10+900,5084533,1538610,9.49750669,45.91309714,"(45.91309714, 9.49750669)"
11648,Velocità Vento Scalare,m/s,114,Landriano (ersaf) *,88,PV,Landriano,c/o Cascina Marianna,5018638,1520741,9.26429397,45.32076661,"(45.32076661, 9.26429397)"
11649,Velocità Vento Scalare,m/s,1075,Edolo - via Morino 5,659,BS,Edolo,c/o centrale Enel,5114109,1603378,10.3388605,46.1725273,"(46.1725273, 10.3388605)"
11650,Velocità Vento Scalare,m/s,119,Cornalita,700,BG,San Giovanni Bianco,c\o agriturismo EDEN,5081200,1550237,9.64706978,45.88234925,"(45.88234925, 9.64706978)"
11651,Velocità Vento Scalare,m/s,125,Castello d`Agogna (ersaf) *,106,PV,Castello d'Agogna,SP 26 - c/o Ente Risi,5008922,1475121,8.68270731,45.23317633,"(45.23317633, 8.68270731)"
11652,Velocità Vento Scalare,m/s,127,Casatenovo tetto,360,LC,Casatenovo,via Monteregio 13,5061000,1524093,9.30914683,45.70195425,"(45.70195425, 9.30914683)"
11653,Velocità Vento,m/s,129,Capo di ponte,362,BS,Capo di Ponte,via Briscioli 42,5097897,1603931,10.34250956,46.02656822,"(46.02656822, 10.34250956)"
11654,Velocità Vento Scalare,m/s,132,Bergamo - Stezzano,211,BG,Bergamo,via Stezzano 24,5056562,1551349,9.65877947,45.66052617,"(45.66052617, 9.65877947)"
